NOM;CODI;DATA;SEXE;GRUP_EDAT;CASOS_CONFIRMAT;PCR;TAR;INGRESSOS_TOTAL;INGRESSOS_CRITIC;INGRESSATS_TOTAL;INGRESSATS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-11-08;Altres;N/A;9;43;6;0;15;142;42;0;3;6;1;0;42;6;5;9
CATALUNYA;GLOBAL;2021-11-08;Dona;0 a 9;17;35;234;1;0;0;0;0;0;17;0;6;32;221;0;0
CATALUNYA;GLOBAL;2021-11-08;Dona;10 a 19;19;37;441;0;0;0;0;0;0;19;0;9;29;350;14;21
CATALUNYA;GLOBAL;2021-11-08;Dona;20 a 29;16;88;385;0;0;1;0;0;0;16;0;11;73;323;27;33
CATALUNYA;GLOBAL;2021-11-08;Dona;30 a 39;23;117;424;0;0;0;0;0;0;23;0;12;98;350;23;44
CATALUNYA;GLOBAL;2021-11-08;Dona;40 a 49;38;108;455;0;0;3;1;0;0;38;1;23;94;398;23;17
CATALUNYA;GLOBAL;2021-11-08;Dona;50 a 59;18;81;315;0;0;6;3;0;1;17;1;9;71;281;8;5
CATALUNYA;GLOBAL;2021-11-08;Dona;60 a 69;20;86;247;0;0;19;5;0;0;20;0;12;82;216;1;12
CATALUNYA;GLOBAL;2021-11-08;Dona;70 a 79;11;122;152;0;1;15;5;0;0;11;0;7;110;139;4;109
CATALUNYA;GLOBAL;2021-11-08;Dona;80 o més;10;158;90;0;0;23;3;0;0;10;0;8;143;83;1;4
CATALUNYA;GLOBAL;2021-11-08;Home;0 a 9;18;52;266;0;0;1;0;0;1;17;1;11;50;241;0;0
CATALUNYA;GLOBAL;2021-11-08;Home;10 a 19;25;22;458;0;0;1;0;0;0;25;0;12;18;381;27;11
CATALUNYA;GLOBAL;2021-11-08;Home;20 a 29;18;42;269;0;0;0;0;0;0;18;0;9;34;224;42;40
CATALUNYA;GLOBAL;2021-11-08;Home;30 a 39;22;68;332;0;0;4;1;0;0;22;1;11;61;286;37;39
CATALUNYA;GLOBAL;2021-11-08;Home;40 a 49;41;59;349;0;0;9;2;0;1;40;1;19;57;307;18;21
